reads,mean,sd,max,perc_compl,sd_upr_perc_compl,sd_lwr_perc_compl,max_perc_compl
0,0,0,0,0,0,0,0
1000,10.25,3.18257566740963,19,1.07442348008386,1.40802679951883,0.740820160648885,1.9916142557652
2000,18.68,3.89737026076494,27,1.958071278826,2.36660065626467,1.54954190138732,2.83018867924528
3000,26.88,4.55556048287489,39,2.81761006289308,3.29513212608751,2.34008799969865,4.08805031446541
4000,34.35,5.04399833385373,50,3.60062893081761,4.12934993017335,3.07190793146187,5.24109014675052
5000,41.14,5.38801513274667,57,4.31236897274633,4.87715043320196,3.74758751229071,5.9748427672956
6000,49.16,4.85074189889515,61,5.15303983228511,5.6615033436997,4.64457632087053,6.39412997903564
7000,53.65,5.97363737050915,70,5.62368972746331,6.24985716672004,4.99752228820659,7.33752620545073
8000,58.2,6.71497647731614,75,6.10062893081761,6.80450487183607,5.39675298979915,7.86163522012579
9000,65.07,6.10059609606084,84,6.82075471698113,7.46023019874851,6.18127923521375,8.80503144654088
10000,69.91,6.86683583198509,89,7.32809224318658,8.04788635555399,6.60829813081917,9.32914046121593
11000,75.12,6.14024643337922,87,7.87421383647799,8.51784553809007,7.23058213486591,9.11949685534591
12000,80.43,5.51628443242315,94,8.43081761006289,9.00904448977182,7.85259073035397,9.85324947589099
13000,85.15,6.49066929359276,98,8.92557651991614,9.60594017752545,8.24521286230684,10.272536687631
14000,88.55,6.96219952473514,107,9.28197064989518,10.0117609564712,8.55218034331917,11.2159329140461
15000,93.47,6.88939310634379,107,9.79769392033543,10.5198525268704,9.07553531380044,11.2159329140461
16000,97.19,6.71752569888285,112,10.1876310272537,10.8917741822728,9.4834878722345,11.7400419287212
17000,101.57,7.19041870909624,118,10.646750524109,11.4004631770541,9.89303787116392,12.3689727463312
18000,104.51,6.93475364240202,121,10.9549266247379,11.6818400044447,10.2280132450312,12.6834381551363
19000,107.9,6.86890225449585,127,11.3102725366876,12.0302832551882,10.590261818187,13.3123689727463
20000,111.43,6.40273773514506,128,11.6802935010482,12.3514400141661,11.0091469879303,13.4171907756813
21000,113.88,7.01553830990736,136,11.937106918239,12.6724882924431,11.2017255440349,14.2557651991614
22000,118.07,7.25475114262468,138,12.3763102725367,13.1367663671514,11.6158541779219,14.4654088050314
23000,122.4,6.68180100320749,142,12.8301886792453,13.5305871072545,12.1297902512361,14.8846960167715
24000,126.1,6.89532120683689,140,13.2180293501048,13.9408093508215,12.4952493493882,14.6750524109015
25000,127.93,7.70708056978068,143,13.4098532494759,14.2177233301657,12.6019831687861,14.9895178197065
26000,129.55,7.46895933416119,148,13.5796645702306,14.3625743536857,12.7967547867756,15.5136268343816
27000,132.72,6.92102637334999,151,13.9119496855346,14.6374241481499,13.1864752229193,15.8280922431866
28000,135.66,7.58816196586512,156,14.2201257861635,15.0155306043884,13.4247209679387,16.3522012578616
29000,140.58,6.86696086454201,160,14.7358490566038,15.4556562751092,14.0160418380983,16.7714884696017
30000,141.38,6.95262467698278,160,14.8197064989518,15.5484931527236,14.09091984518,16.7714884696017
31000,145.03,7.04596022949006,160,15.2023060796646,15.9408763343281,14.463735825001,16.7714884696017
32000,144.36,7.2467617289073,168,15.1320754716981,15.8916941015626,14.3724568418336,17.6100628930818
33000,146.92,7.65503729315514,167,15.4004192872117,16.202834097815,14.5980044766085,17.5052410901468
34000,148.9,7.34090518184841,163,15.6079664570231,16.3774533733594,14.8384795406868,17.0859538784067
35000,154.16,7.42058289523475,176,16.1593291404612,16.9371680183684,15.381490262554,18.4486373165618
36000,156,6.82686316005093,171,16.3522012578616,17.0678053626888,15.6365971530345,17.9245283018868
